id,grandPrixId,name,qualyFormat,circuitId,scheduledLaps,posterURL
1964-01,monaco,Grand Prix de Monaco 1964,TWO_SESSION,monaco,100,https://www.progcovers.com/motor/monaco64.jpg
1964-02,netherlands,Grote Prijs van Nederland 1964,TWO_SESSION,zandvoort,80,https://www.progcovers.com/motor/zandvoort640524.jpg
1964-03,belgium,1964 French Grand Prix,TWO_SESSION,spa-francorchamps,32,https://www.progcovers.com/motor/spa640614.jpg
1964-04,france,Grand Prix de France 1964,TWO_SESSION,rouen,57,https://www.progcovers.com/motor/rouen640628.jpg
1964-05,great-britain,1964 RAC British Grand Prix,TWO_SESSION,brands-hatch,80,https://www.progcovers.com/motor/brands640711.jpg
1964-06,germany,Grosser Preis von Deutschland 1964,TWO_SESSION,nurburgring,15,https://www.progcovers.com/motor/nurburgring640802.jpg
1964-07,austria,Grosser Preis von Ã–sterreich 1964,TWO_SESSION,zeltweg,105,https://www.progcovers.com/motor/zeltweg640823.jpg
1964-08,italy,Gran Premio d'Italia 1964,TWO_SESSION,monza,78,https://www.progcovers.com/motor/monza640906.jpg
1964-09,united-states,1964 United States Grand Prix,TWO_SESSION,watkins-glen,110,https://www.progcovers.com/motor/watkinsglen641004.jpg
1964-10,mexico,Gran Premio de México 1964,TWO_SESSION,mexico-city,65,https://www.progcovers.com/motor/mexico64.jpeg
1965-01,south-africa,South African Grand Prix 1965,TWO_SESSION,east-london,85,
1965-02,monaco,Grand Prix de Monaco 1965,TWO_SESSION,monaco,100,https://www.progcovers.com/motor/monaco650530.jpg
1965-03,belgium,1965 Belgian Grand Prix,TWO_SESSION,spa-francorchamps,32,https://www.progcovers.com/motor/spa650613.jpg
1965-04,france,Grand Prix de France 1965,TWO_SESSION,clermont-ferrand,40,
1965-05,great-britain,1965 RAC British Grand Prix,TWO_SESSION,silverstone,80,https://www.progcovers.com/motor/silverstone650710.jpg
1965-06,netherlands,Grote Prijs van Nederland 1965,TWO_SESSION,zandvoort,80,https://www.progcovers.com/motor/zandvoort650718.jpg
1965-07,germany,Grosser Preis von Deutschland 1965,TWO_SESSION,nurburgring,15,https://www.progcovers.com/motor/nurburgring650801.jpg
1965-08,italy,Gran Premio d'Italia 1965,TWO_SESSION,monza,76,https://www.progcovers.com/motor/monza650912.jpg
1965-09,united-states,1965 United States Grand Prix,TWO_SESSION,watkins-glen,110,https://www.progcovers.com/motor/watglen65.jpg
1965-10,mexico,Gran Premio de México 1965,TWO_SESSION,mexico-city,65,
1966-01,monaco,Grand Prix de Monaco 1966,TWO_SESSION,monaco,100,https://www.progcovers.com/motor/monaco660522.jpg
1966-02,belgium,1966 Belgian Grand Prix,TWO_SESSION,spa-francorchamps,28,https://www.progcovers.com/motor/spa120666.jpg
1966-03,france,Grand Prix de France 1966,TWO_SESSION,reims,48,https://www.progcovers.com/motor/reims3big.jpg
1966-04,great-britain,1966 RAC British Grand Prix,TWO_SESSION,brands-hatch,80,https://www.progcovers.com/motor/brands660716.jpg
1966-05,netherlands,Grote Prijs van Nederland 1966,TWO_SESSION,zandvoort,90,https://www.progcovers.com/motor/zandvoort660724.jpg
1966-06,germany,Grosser Preis von Deutschland 1966,TWO_SESSION,nurburgring,15,https://www.progcovers.com/motor/nurburgring660807.jpg
1966-07,italy,Gran Premio d'Italia 1966,TWO_SESSION,monza,68,https://www.progcovers.com/motor/monza66.jpg
1966-08,united-states,1966 United States Grand Prix,TWO_SESSION,watkins-glen,108,https://www.progcovers.com/motor/watglen66.jpg
1966-09,mexico,Gran Premio de México 1966,TWO_SESSION,mexico-city,65,
1967-01,south-africa,South African Grand Prix 1967,TWO_SESSION,kyalami,80,https://www.progcovers.com/motor/kyalami670102.jpg
1967-02,monaco,Grand Prix de Monaco 1967,TWO_SESSION,monaco,100,https://www.progcovers.com/motor/monaco670507.jpg
1967-03,netherlands,Grote Prijs van Nederland 1967,TWO_SESSION,zandvoort,90,https://www.progcovers.com/motor/zandvoort670604.jpg
