id,eventId,abbreviation,startDateTime
2013-03-FP1,2013-03,FP1,
2013-04-FP1,2013-04,FP1,
2013-05-FP1,2013-05,FP1,
2013-06-FP1,2013-06,FP1,
2013-07-FP1,2013-07,FP1,
2013-08-FP1,2013-08,FP1,
2013-09-FP1,2013-09,FP1,
2013-10-FP1,2013-10,FP1,
2013-11-FP1,2013-11,FP1,
2013-12-FP1,2013-12,FP1,
2013-13-FP1,2013-13,FP1,
2013-14-FP1,2013-14,FP1,
2013-15-FP1,2013-15,FP1,
2013-16-FP1,2013-16,FP1,
2013-17-FP1,2013-17,FP1,
2013-18-FP1,2013-18,FP1,
2013-19-FP1,2013-19,FP1,
2014-01-FP1,2014-01,FP1,
2014-02-FP1,2014-02,FP1,
2014-03-FP1,2014-03,FP1,
2014-04-FP1,2014-04,FP1,
2014-05-FP1,2014-05,FP1,
2014-06-FP1,2014-06,FP1,
2014-07-FP1,2014-07,FP1,
2014-08-FP1,2014-08,FP1,
2014-09-FP1,2014-09,FP1,
2014-10-FP1,2014-10,FP1,
2014-11-FP1,2014-11,FP1,
2014-12-FP1,2014-12,FP1,
2014-13-FP1,2014-13,FP1,
2014-14-FP1,2014-14,FP1,
2014-15-FP1,2014-15,FP1,
2014-16-FP1,2014-16,FP1,
2014-17-FP1,2014-17,FP1,
2014-18-FP1,2014-18,FP1,
2014-19-FP1,2014-19,FP1,
2015-01-FP1,2015-01,FP1,
2015-02-FP1,2015-02,FP1,
2015-03-FP1,2015-03,FP1,
2015-04-FP1,2015-04,FP1,
2015-05-FP1,2015-05,FP1,
2015-06-FP1,2015-06,FP1,
2015-07-FP1,2015-07,FP1,
2015-08-FP1,2015-08,FP1,
2015-09-FP1,2015-09,FP1,
2015-10-FP1,2015-10,FP1,
2015-11-FP1,2015-11,FP1,
2015-12-FP1,2015-12,FP1,
2015-13-FP1,2015-13,FP1,
2015-14-FP1,2015-14,FP1,
2015-15-FP1,2015-15,FP1,
2015-16-FP1,2015-16,FP1,
2015-17-FP1,2015-17,FP1,
2015-18-FP1,2015-18,FP1,
2015-19-FP1,2015-19,FP1,
2016-01-FP1,2016-01,FP1,
2016-02-FP1,2016-02,FP1,
2016-03-FP1,2016-03,FP1,
2016-04-FP1,2016-04,FP1,
2016-05-FP1,2016-05,FP1,
2016-06-FP1,2016-06,FP1,
2016-07-FP1,2016-07,FP1,
2016-08-FP1,2016-08,FP1,
2016-09-FP1,2016-09,FP1,
2016-10-FP1,2016-10,FP1,
2016-11-FP1,2016-11,FP1,
2016-12-FP1,2016-12,FP1,
2016-13-FP1,2016-13,FP1,
2016-14-FP1,2016-14,FP1,
2016-15-FP1,2016-15,FP1,
2016-16-FP1,2016-16,FP1,
2016-17-FP1,2016-17,FP1,
2016-18-FP1,2016-18,FP1,
2016-19-FP1,2016-19,FP1,
2016-20-FP1,2016-20,FP1,
2016-21-FP1,2016-21,FP1,
2017-01-FP1,2017-01,FP1,
2017-02-FP1,2017-02,FP1,
2017-03-FP1,2017-03,FP1,
2017-04-FP1,2017-04,FP1,
2017-05-FP1,2017-05,FP1,
2017-06-FP1,2017-06,FP1,
2017-07-FP1,2017-07,FP1,
2017-08-FP1,2017-08,FP1,
2017-09-FP1,2017-09,FP1,
2017-10-FP1,2017-10,FP1,
2017-11-FP1,2017-11,FP1,
2017-12-FP1,2017-12,FP1,
2017-13-FP1,2017-13,FP1,
2017-14-FP1,2017-14,FP1,
2017-15-FP1,2017-15,FP1,
2017-16-FP1,2017-16,FP1,
2017-17-FP1,2017-17,FP1,
2017-18-FP1,2017-18,FP1,
2017-19-FP1,2017-19,FP1,
2017-20-FP1,2017-20,FP1,
2018-01-FP1,2018-01,FP1,
2018-02-FP1,2018-02,FP1,
2018-03-FP1,2018-03,FP1,
2018-04-FP1,2018-04,FP1,
2018-05-FP1,2018-05,FP1,
2018-06-FP1,2018-06,FP1,
2018-07-FP1,2018-07,FP1,
2018-08-FP1,2018-08,FP1,
2018-09-FP1,2018-09,FP1,
2018-10-FP1,2018-10,FP1,
2018-11-FP1,2018-11,FP1,
2018-12-FP1,2018-12,FP1,
2018-13-FP1,2018-13,FP1,
2018-14-FP1,2018-14,FP1,
2018-15-FP1,2018-15,FP1,
2018-16-FP1,2018-16,FP1,
2018-17-FP1,2018-17,FP1,
2018-18-FP1,2018-18,FP1,
2018-19-FP1,2018-19,FP1,
2018-20-FP1,2018-20,FP1,
